location,date,hour,long,lat,hourly_lceq_avg
Calveriekapel,2022-01-20,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-21,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-21,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-21,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-21,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-21,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-21,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-21,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-21,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-21,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-21,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-21,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-21,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-21,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-21,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-21,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-21,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-21,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-21,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-21,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-21,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-21,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-21,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-21,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-21,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-22,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-22,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-22,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-22,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-22,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-22,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-22,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-22,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-22,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-22,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-22,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-22,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-22,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-22,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-22,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-22,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-22,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-22,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-22,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-22,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-22,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-22,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-22,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-22,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-23,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-23,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-23,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-23,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-23,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-23,5,4.6999168,50.8745267,52.1955871113741
