location,date,hour,long,lat,hourly_lamax_avg
Calveriekapel,2022-01-17,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-17,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-17,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-17,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-17,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-17,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-17,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-17,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-17,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-17,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-17,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-17,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-17,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-17,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-17,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-17,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-17,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-17,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-17,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-17,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-17,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-17,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-18,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-18,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-18,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-18,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-18,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-18,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-18,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-18,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-18,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-18,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-18,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-18,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-18,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-18,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-18,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-18,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-18,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-18,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-18,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-18,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-18,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-18,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-18,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-18,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-19,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-19,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-19,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-19,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-19,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-19,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-19,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-19,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-19,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-19,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-19,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-19,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-19,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-19,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-19,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-19,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-19,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-19,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-19,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-19,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-19,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-19,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-19,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-19,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-20,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-20,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-20,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-20,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-20,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-20,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-20,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-20,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-20,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-20,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-20,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-20,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-20,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-20,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-20,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-20,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-20,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-20,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-20,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-20,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-20,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-20,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-20,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-20,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-21,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-21,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-21,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-21,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-21,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-21,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-21,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-21,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-21,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-21,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-21,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-21,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-21,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-21,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-21,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-21,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-21,16,4.6999168,50.8745267,54.98270081907515
